id,question,problem_description,tc1,tc2,tc3,tc4,tc5,company,difficulty,category,hint
63,Largest Rectangle in Histogram,"Find the largest rectangle area in a histogram of bar heights. Use a stack to track increasing heights and compute areas in O(n) time, handling single-bar or uniform-height cases.","heights=[2,1,5,6,2,3], output=10","heights=[2,4], output=4","heights=[1], output=1","heights=[2,2], output=4","heights=[1,2,3], output=4","Google, Amazon",Hard,"Array, Stack",Use a stack to compute areas of rectangles.
64,Maximal Rectangle,"Find the area of the largest rectangle of all 1s in a binary matrix. Treat each row as a histogram and use a stack-based approach for O(m*n) time, handling empty or single-cell matrices.","matrix=[['1','0','1','0','0'],['1','0','1','1','1'],['1','1','1','1','1'],['1','0','0','1','0']], output=6","matrix=[['0']], output=0","matrix=[['1']], output=1","matrix=[['1','0'],['0','1']], output=1","matrix=[['1','1'],['1','1']], output=4","Google, Amazon",Hard,"Dynamic Programming, Stack",Convert to histogram problem for each row.
65,Merge Sorted Array,"Merge two sorted arrays into the first array in-place, given extra space at the end. Merge from the end to avoid overwriting in O(m+n) time, handling cases with empty arrays.","nums1=[1,2,3,0,0,0], m=3, nums2=[2,5,6], n=3, output=[1,2,2,3,5,6]","nums1=[1], m=1, nums2=[], n=0, output=[1]","nums1=[0], m=0, nums2=[1], n=1, output=[1]","nums1=[2,0], m=1, nums2=[1], n=1, output=[1,2]","nums1=[1,2,0,0], m=2, nums2=[3,4], n=2, output=[1,2,3,4]","Google, Amazon",Easy,"Array, Two Pointers",Merge from the end to avoid overwriting.
66,Gray Code,"Generate a Gray code sequence for a given n, where each number differs by one bit. Use bit manipulation or mirroring for O(2^n) time, ensuring valid sequences for n=0 or n=1.","n=2, output=[0,1,3,2]","n=1, output=[0,1]","n=0, output=[0]","n=3, output=[0,1,3,2,6,7,5,4]","n=4, output=(16 numbers in Gray code sequence)","Google, Amazon",Medium,"Backtracking, Bit Manipulation",Generate sequence using bit manipulation or mirroring.
67,Subsets II,"Generate all unique subsets of an array that may contain duplicates. Use backtracking with sorting to skip duplicates in O(2^n) time, including the empty subset.","nums=[1,2,2], output=[[],[1],[1,2],[1,2,2],[2],[2,2]]","nums=[0], output=[[],[0]]","nums=[1,1], output=[[],[1],[1,1]]","nums=[1], output=[[],[1]]","nums=[2,2,2], output=[[],[2],[2,2],[2,2,2]]","Google, Amazon",Medium,Backtracking,Use backtracking with deduplication for subsets.
68,Decode Ways,"Count the number of ways to decode a string of digits into letters (1=A, 2=B, ..., 26=Z). Use dynamic programming for O(n) time, handling leading zeros and invalid sequences.","s='12', output=2","s='226', output=3","s='06', output=0","s='1', output=1","s='111', output=3","Google, Amazon",Medium,Dynamic Programming,Use DP to count valid decodings.
69,Reverse Linked List II,"Reverse a linked list between positions left and right (1-indexed). Locate the sublist, reverse it, and reconnect in O(n) time, handling cases where left equals right or the list is short.","head=[1,2,3,4,5], left=2, right=4, output=[1,4,3,2,5]","head=[5], left=1, right=1, output=[5]","head=[1,2], left=1, right=2, output=[2,1]","head=[1,2,3], left=1, right=3, output=[3,2,1]","head=[1,2,3,4], left=2, right=3, output=[1,3,2,4]","Google, Amazon",Medium,Linked List,Reverse the sublist between left and right positions.
70,Binary Tree Inorder Traversal,"Return the inorder traversal of a binary tree (left, root, right). Use recursive or iterative (stack-based) traversal for O(n) time, handling empty or single-node trees.","root=[1,null,2,3], output=[1,3,2]","root=[], output=[]","root=[1], output=[1]","root=[1,2], output=[2,1]","root=[1,null,2], output=[1,2]","Google, Amazon, Microsoft",Medium,"Tree, DFS",Use recursive or iterative inorder traversal.
71,Unique Binary Search Trees II,"Generate all structurally unique binary search trees (BSTs) for numbers 1 to n. Use recursive construction for O(Catalan(n)) time, handling cases like n=0 or n=1.","n=3, output=[[1,null,2,null,3],[1,null,3,2],[2,1,3],[3,1,null,null,2],[3,2,null,1]]","n=1, output=[[1]]","n=2, output=[[1,null,2],[2,1]]","n=0, output=[]","n=4, output=(14 unique BSTs)","Google, Amazon",Medium,"Dynamic Programming, Tree",Generate all unique BSTs using recursion.
72,Unique Binary Search Trees,"Count the number of unique binary search trees possible with n distinct nodes. Use dynamic programming or Catalan numbers for O(n^2) time, handling n=0 or small inputs.","n=3, output=5","n=1, output=1","n=2, output=2","n=0, output=1","n=4, output=14","Google, Amazon",Medium,"Dynamic Programming, Math",Use Catalan numbers or DP for unique BSTs.
73,Interleaving String,"Determine if a string s3 is an interleaving of strings s1 and s2. Use dynamic programming for O(m*n) time, where m and n are string lengths, checking if s3 can be formed by merging s1 and s2.","s1='aabcc', s2='dbbca', s3='aadbbcbcac', output=true","s1='aabcc', s2='dbbca', s3='aadbbbaccc', output=false","s1='', s2='', s3='', output=true","s1='abc', s2='def', s3='adbecf', output=true","s1='a', s2='b', s3='ab', output=true","Google, Amazon",Hard,Dynamic Programming,Use DP to check if s3 is an interleaving of s1 and s2.
74,Validate Binary Search Tree,"Validate if a binary tree is a binary search tree (BST) where left subtree values are less than the node and right subtree values are greater. Use DFS with range checks for O(n) time, handling duplicate values.","root=[2,1,3], output=true","root=[5,1,4,null,null,3,6], output=false","root=[1], output=true","root=[5,4,null,3], output=false","root=[3,1,5], output=true","Google, Amazon, Microsoft",Medium,"Tree, DFS",Check if each node’s value is within valid BST range.
75,Recover Binary Search Tree,"Recover a binary search tree with two swapped nodes by restoring correct BST properties. Use inorder traversal to identify and swap the misplaced nodes in O(n) time, handling minimal trees.","root=[1,3,null,null,2], output=[3,1,null,null,2]","root=[3,1,4,null,null,2], output=[2,1,4,null,null,3]","root=[1], output=[1]","root=[2,1,3], output=[2,1,3]","root=[4,2,6,1,3], output=[4,3,6,1,2]","Google, Amazon",Medium,"Tree, DFS",Find and swap the two nodes that are out of order.
76,Same Tree,"Determine if two binary trees are identical in structure and node values. Compare trees recursively or iteratively in O(n) time, where n is the number of nodes, handling empty or mismatched trees.","p=[1,2,3], q=[1,2,3], output=true","p=[1,2], q=[1,null,2], output=false","p=[1,2,1], q=[1,1,2], output=false","p=[1], q=[1], output=true","p=[], q=[], output=true","Google, Amazon",Easy,"Tree, DFS",Compare trees recursively or iteratively.
77,Symmetric Tree,"Check if a binary tree is symmetric (i.e., its left and right subtrees are mirror images). Use recursive or iterative comparison of mirrored nodes in O(n) time, handling single-node or empty trees.","root=[1,2,2,3,4,4,3], output=true","root=[1,2,2,null,3,null,3], output=false","root=[1], output=true","root=[1,2,2], output=true","root=[1,2,3], output=false","Google, Amazon",Easy,"Tree, DFS",Check if left and right subtrees are mirror images.
78,Binary Tree Level Order Traversal,"Return the level-order traversal of a binary tree, grouping nodes by level. Use BFS with a queue for O(n) time, collecting nodes level by level, handling empty or single-node trees.","root=[3,9,20,null,null,15,7], output=[[3],[9,20],[15,7]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[1],[2,3]]","root=[1,null,2], output=[[1],[2]]","Google, Amazon, Microsoft",Medium,"Tree, BFS",Use BFS to traverse level by level.
79,Binary Tree Zigzag Level Order Traversal,"Perform a zigzag level-order traversal of a binary tree, alternating left-to-right and right-to-left. Use BFS with a flag to reverse alternate levels in O(n) time, handling small or empty trees.","root=[3,9,20,null,null,15,7], output=[[3],[20,9],[15,7]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[1],[3,2]]","root=[1,null,2,3], output=[[1],[2],[3]]","Google, Amazon",Medium,"Tree, BFS",Use BFS with a flag to reverse alternate levels.
80,Maximum Depth of Binary Tree,"Find the maximum depth of a binary tree (longest root-to-leaf path). Use DFS or BFS for O(n) time, returning 0 for empty trees and handling unbalanced trees.","root=[3,9,20,null,null,15,7], output=3","root=[1,null,2], output=2","root=[1], output=1","root=[], output=0","root=[1,2,3,4,null,null,5], output=3","Google, Amazon",Easy,"Tree, DFS",Use DFS or BFS to find the maximum depth.
81,Construct Binary Tree from Preorder and Inorder Traversal,"Construct a binary tree from its preorder and inorder traversals. Use preorder to identify the root and inorder to split subtrees, building the tree in O(n) time with a hash map for efficiency.","preorder=[3,9,20,15,7], inorder=[9,3,15,20,7], output=[3,9,20,null,null,15,7]","preorder=[1], inorder=[1], output=[1]","preorder=[1,2], inorder=[2,1], output=[1,2]","preorder=[1,2,3], inorder=[2,1,3], output=[1,2,3]","preorder=[3,1,2], inorder=[1,3,2], output=[3,1,2]","Google, Amazon",Medium,"Tree, DFS",Use preorder for root and inorder to split subtrees.
82,Construct Binary Tree from Inorder and Postorder Traversal,"Construct a binary tree from its inorder and postorder traversals. Use postorder to identify the root and inorder to split subtrees, constructing the tree in O(n) time with a hash map.","inorder=[9,3,15,20,7], postorder=[9,15,7,20,3], output=[i3,9,20,null,null,15,7]","inorder=[1], postorder=[1], output=[1]","inorder=[2,1], postorder=[2,1], output=[1,2]","inorder=[2,1,3], postorder=[2,3,1], output=[1,2,3]","inorder=[1,3,2], postorder=[1,2,3], output=[3,1,2]","Google, Amazon",Medium,"Tree, DFS",Use postorder for root and inorder to split subtrees.
83,Binary Tree Level Order Traversal II,"Return the level-order traversal of a binary tree from bottom to top. Use BFS and reverse the result in O(n) time, handling empty trees or single-level trees.","root=[3,9,20,null,null,15,7], output=[[15,7],[9,20],[3]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[2,3],[1]]","root=[1,null,2], output=[[2],[1]]","Google, Amazon",Medium,"Tree, BFS",Use BFS and reverse the result.
84,Convert Sorted Array to Binary Search Tree,"Convert a sorted array into a height-balanced binary search tree. Choose the middle element as the root for each subtree in O(n) time, ensuring balance for small or single-element arrays.","nums=[-10,-3,0,5,9], output=[0,-3,9,-10,null,5]","nums=[1,3], output=[3,1]","nums=[1], output=[1]","nums=[1,2,3], output=[2,1,3]","nums=[0], output=[0]","Google, Amazon",Easy,"Tree, DFS",Use middle element as root to balance the BST.
85,Convert Sorted List to Binary Search Tree,"Convert a sorted linked list into a height-balanced binary search tree. Find the middle node for each subtree in O(n log n) time, or optimize to O(n) with a fast-slow pointer approach.","head=[-10,-3,0,5,9], output=[0,-3,9,-10,null,5]","head=[], output=[]","head=[0], output=[0]","head=[1,3], output=[3,1]","head=[1,2,3], output=[2,1,3]","Google, Amazon",Medium,"Linked List, Tree",Find the middle of the list for the root.
86,Balanced Binary Tree,"Determine if a binary tree is height-balanced, where the height difference between subtrees is at most 1. Use DFS to compute heights in O(n) time, checking balance for each node.","root=[3,9,20,null,null,15,7], output=true","root=[1,2,2,3,3,null,null,4,4], output=false","root=[1], output=true","root=[1,2], output=true","root=[1,null,2], output=true","Google, Amazon",Easy,"Tree, DFS",Check if subtree height difference is at most 1.
87,Minimum Depth of Binary Tree,"Find the minimum depth of a binary tree (shortest root-to-leaf path). Use BFS for O(n) time to find the first leaf, handling unbalanced or empty trees.","root=[3,9,20,null,null,15,7], output=2","root=[2,null,3,null,4,null,5,null,6], output=5","root=[1], output=1","root=[1,2], output=2","root=[1,null,2], output=2","Google, Amazon",Easy,"Tree, DFS, BFS",Use BFS for the shortest path to a leaf.
88,Path Sum,"Check if a binary tree has a root-to-leaf path summing to a target value. Use DFS to explore paths in O(n) time, handling negative numbers and empty trees.","root=[5,4,8,11,null,13,4,7,2,null,null,null,1], targetSum=22, output=true","root=[1,2,3], targetSum=5, output=false","root=[1], targetSum=1, output=true","root=[1,2], targetSum=3, output=true","root=[], targetSum=0, output=false","Google, Amazon",Easy,"Tree, DFS",Check if any root-to-leaf path sums to target.
89,Path Sum II,"Find all root-to-leaf paths in a binary tree where the sum equals a target value. Use DFS with backtracking to collect valid paths in O(n) time, handling cases with no valid paths.","root=[5,4,8,11,null,13,4,7,2,null,null,5,1], targetSum=22, output=[[5,4,11,2],[5,8,4,5]]","root=[1,2,3], targetSum=5, output=[]","root=[1], targetSum=1, output=[[1]]","root=[1,2], targetSum=3, output=[[1,2]]","root=[1,null,2], targetSum=3, output=[[1,2]]","Google, Amazon",Medium,"Tree, DFS",Use DFS to collect all paths summing to target.
90,Flatten Binary Tree to Linked List,Flatten a binary tree into a linked list in-place using preorder traversal. Restructure the tree by setting left pointers to null and linking right pointers in O(n) time.,"root=[1,2,5,3,4,null,6], output=[1,null,2,null,3,null,4,null,5,null,6]","root=[1], output=[1]","root=[], output=[]","root=[1,2], output=[1,null,2]","root=[1,null,2], output=[1,null,2]","Google, Amazon",Medium,"Tree, DFS",Flatten the tree in-place using preorder traversal.
91,Populating Next Right Pointers in Each Node,"Connect the next pointers of nodes at the same level in a perfect binary tree. Use BFS or constant space by leveraging next pointers in O(n) time, handling single-node or empty trees.","root=[1,2,3,4,5,6,7], output=[1,#,2,3,#,4,5,6,7,#]","root=[1], output=[1,#]","root=[], output=[]","root=[1,2,3], output=[1,#,2,3,#]","root=[1,null,2], output=[1,#,2,#]","Google, Amazon",Medium,"Tree, BFS",Connect nodes at the same level using next pointers.
92,Populating Next Right Pointers in Each Node II,"Connect the next pointers of nodes at the same level in any binary tree. Use BFS or optimized constant space with next pointers in O(n) time, handling non-perfect trees.","root=[1,2,3,4,5,null,7], output=[1,#,2,3,#,4,5,7,#]","root=[1], output=[1,#]","root=[], output=[]","root=[1,2,3], output=[1,#,2,3,#]","root=[1,null,2], output=[1,#,2,#]","Google, Amazon",Medium,"Tree, BFS",Connect nodes at the same level in a non-perfect tree.
93,Pascal's Triangle,"Generate the first n rows of Pascal’s triangle, where each number is the sum of the two numbers above it. Build each row iteratively in O(n^2) time, handling n=0 or n=1.","numRows=5, output=[[1],[1,1],[1,2,1],[1,3,3,1],[1,4,6,4,1]]","numRows=1, output=[[1]]","numRows=2, output=[[1],[1,1]]","numRows=3, output=[[1],[1,1],[1,2,1]]","numRows=0, output=[]","Google, Amazon",Easy,Array,Generate rows using previous row’s values.
94,Pascal's Triangle II,"Generate the kth row of Pascal’s triangle using only O(k) extra space. Compute the row iteratively in O(k) time, handling cases like k=0 or k=1.","rowIndex=3, output=[1,3,3,1]","rowIndex=0, output=[1]","rowIndex=1, output=[1,1]","rowIndex=2, output=[1,2,1]","rowIndex=4, output=[1,4,6,4,1]","Google, Amazon",Easy,Array,Compute the kth row using only O(k) space.
95,Triangle,"Find the minimum path sum from top to bottom in a triangle of numbers, moving to adjacent numbers in the next row. Use dynamic programming for O(n^2) time and O(n) space, where n is the number of rows.","triangle=[[2],[3,4],[6,5,7],[4,1,8,3]], output=11","triangle=[[1]], output=1","triangle=[[1],[2,3]], output=3","triangle=[[1],[2,3],[4,5,6]], output=8","triangle=[[-10]], output=-10","Google, Amazon",Medium,Dynamic Programming,Use DP to find the minimum path sum.
96,Best Time to Buy and Sell Stock,"Find the maximum profit from buying and selling a stock once, given an array of daily prices. Track the minimum price and maximum profit in O(n) time, handling cases with no profit.","prices=[7,1,5,3,6,4], output=5","prices=[7,6,4,3,1], output=0","prices=[1], output=0","prices=[1,2], output=1","prices=[2,1,4], output=3","Google, Amazon, Facebook",Easy,"Array, Dynamic Programming",Track minimum price and maximum profit.
97,Best Time to Buy and Sell Stock II,"Maximize profit by buying and selling a stock multiple times, given daily prices, without overlapping transactions. Sum all positive price differences in O(n) time, handling decreasing prices.","prices=[7,1,5,3,6,4], output=7","prices=[1,2,3,4,5], output=4","prices=[7,6,4,3,1], output=0","prices=[1], output=0","prices=[2,1,2,0,1], output=2","Google, Amazon",Medium,"Array, Greedy",Sum all positive price differences.
98,Binary Tree Maximum Path Sum,"Find the maximum path sum in a binary tree, where the path can include any node-to-node segment. Use DFS to track maximum sums through each node in O(n) time, handling negative values.","root=[1,2,3], output=6","root=[-10,9,20,null,null,15,7], output=42","root=[1], output=1","root=[-1,-2,-3], output=-1","root=[2,-1], output=2","Google, Amazon",Hard,"Tree, DFS",Track maximum path sum through each node.
99,Valid Palindrome,"Determine if a string is a palindrome, ignoring non-alphanumeric characters and case. Use two pointers to compare valid characters in O(n) time, handling empty or single-character strings.","s='A man, a plan, a canal: Panama', output=true","s='race a car', output=false","s=' ', output=true","s='ab', output=false","s='a', output=true","Google, Amazon",Easy,"String, Two Pointers",Ignore non-alphanumeric characters and compare.
100,Word Ladder II,"Find all shortest transformation sequences from a start word to an end word, changing one letter at a time via a word list. Use BFS to find shortest paths and backtracking for all sequences in O(n*26^l) time, where l is word length.","beginWord='hit', endWord='cog', wordList=['hot','dot','dog','lot','log','cog'], output=[['hit','hot','dot','dog','cog'],['hit','hot','lot','log','cog']]","beginWord='hit', endWord='cog', wordList=['hot','dot','dog'], output=[]","beginWord='a', endWord='c', wordList=['a','b','c'], output=[['a','b','c']]","beginWord='red', endWord='tax', wordList=['ted','tex','red','tax'], output=[['red','ted','tex','tax']]","beginWord='hot', endWord='dog', wordList=['hot','dog'], output=[]","Google, Amazon",Hard,"BFS, Backtracking",Use BFS to find shortest paths and backtrack for all paths.
101,Word Ladder,"Find the shortest transformation sequence length from a start word to an end word, changing one letter at a time via a word list. Use BFS for O(n*26^l) time, returning 0 if no sequence exists.","beginWord='hit', endWord='cog', wordList=['hot','dot','dog','lot','log','cog'], output=5","beginWord='hit', endWord='cog', wordList=['hot','dot','dog'], output=0","beginWord='a', endWord='c', wordList=['a','b','c'], output=3","beginWord='red', endWord='tax', wordList=['ted','tex','red','tax'], output=4","beginWord='hot', endWord='dog', wordList=['hot','dog'], output=0","Google, Amazon",Hard,BFS,Use BFS to find the shortest transformation sequence.
102,Longest Consecutive Sequence,"Find the length of the longest consecutive sequence in an unsorted array of integers. Use a hash set for O(n) time lookup, checking sequence starts and lengths, handling duplicates.","nums=[100,4,200,1,3,2], output=4","nums=[0,3,7,2,5,8,4,6,0,1], output=9","nums=[1], output=1","nums=[1,2], output=2","nums=[1,3], output=1","Google, Amazon",Medium,"Array, Hash Table",Use a hash set to find the longest consecutive sequence.
103,Sum Root to Leaf Numbers,"Sum all numbers formed by root-to-leaf paths in a binary tree, where each path represents a number. Use DFS to construct numbers in O(n) time, handling multi-digit nodes and single-node trees.","root=[1,2,3], output=25","root=[4,9,0,5,1], output=1026","root=[1], output=1","root=[1,2], output=12","root=[4,9], output=49","Google, Amazon",Medium,"Tree, DFS",Sum numbers formed by root-to-leaf paths.
104,Surrounded Regions,"Modify a board in-place by flipping surrounded 'O' regions to 'X', where surrounded means no connection to the border. Use DFS from border 'O's to mark connected regions in O(m*n) time, handling small boards.","board=[['X','X','X','X'],['X','O','O','X'],['X','X','O','X'],['X','O','X','X']], output=[['X','X','X','X'],['X','X','X','X'],['X','X','X','X'],['X','O','X','X']]","board=[['X']], output=[['X']]","board=[['O']], output=[['O']]","board=[['X','O'],['O','X']], output=[['X','O'],['O','X']]","board=[['O','O'],['O','O']], output=[['O','O']]","Google, Amazon",Medium,"DFS, Union Find",Mark ‘O’s connected to the border using DFS.
105,Clone Graph,"Clone a graph with nodes having neighbors and random pointers. Use DFS or BFS with a hash map to copy nodes and edges in O(n) time, where n is the number of nodes, handling cyclic graphs.","node=1->[[2,4],[1,3],[2,4],[1,3]], output=cloned graph","node=1->[], output=cloned graph","node=1->[[2],[1]], output=cloned graph","node=1->[[2,3],[1,3],[1,2]], output=cloned graph","node=1->[[2],[1]], output=cloned graph","Google, Amazon",Medium,"Graph, DFS, BFS",Use DFS or BFS to clone the graph with a hash map.
106,Gas Station,"Determine if a car can complete a circuit given gas and cost arrays, returning the starting station index. Check if total gas is sufficient and find the start point in O(n) time, handling single-station cases.","gas=[1,2,3,4,5], cost=[3,4,5,1,2], output=3","gas=[2,3,4], cost=[3,4,3], output=-1","gas=[1], cost=[1], output=0","gas=[2,2], cost=[2,2], output=0","gas=[5,1,2,3,4], cost=[4,1,1,1,1], output=1","Google, Amazon",Medium,"Array, Greedy",Check if total gas is sufficient and find starting point.
107,Candy,"Assign candies to children based on ratings, ensuring higher-rated children get more candies than neighbors. Use two passes (left-to-right and right-to-left) for O(n) time, minimizing total candies.","ratings=[1,0,2], output=5","ratings=[1,2,2], output=4","ratings=[1], output=1","ratings=[1,2], output=3","ratings=[2,1], output=3","Google, Amazon",Hard,"Array, Greedy",Assign candies based on ratings with two passes.
108,Single Number,"Find the single number in an array where every other number appears twice. Use XOR operations for O(n) time and O(1) space, handling single-element arrays.","nums=[2,2,1], output=1","nums=[4,1,2,1,2], output=4","nums=[1], output=1","nums=[1,1,2], output=2","nums=[3,3,4], output=4","Google, Amazon",Easy,"Array, Bit Manipulation",Use XOR to find the single number.
109,Single Number II,"Find the single number in an array where every other number appears three times. Use bit manipulation to track numbers appearing once in O(n) time, handling single-element cases.","nums=[2,2,3,2], output=3","nums=[0,1,0,1,0,1,99], output=99","nums=[1], output=1","nums=[2,2,2,3], output=3","nums=[1,1,1,4], output=4","Google, Amazon",Medium,"Array, Bit Manipulation",Use bit manipulation to track numbers appearing once.
110,Copy List with Random Pointer,"Copy a linked list with random pointers, preserving the structure. Interleave the original and copied nodes for O(n) time and O(1) space, then separate, handling lists with no random pointers.","head=[1,2,3,random=3,1,null], output=copied list","head=[1,null], output=copied list","head=[], output=[]","head=[1,1,random=1], output=copied list","head=[2,3,random=3], output=copied list","Google, Amazon",Medium,Linked List,Interleave nodes to copy with random pointers.
111,Word Break,"Determine if a string can be segmented into words from a dictionary. Use dynamic programming for O(n^2) time with a hash set for word lookup, handling empty strings or dictionaries.","s='leetcode', wordDict=['leet','code'], output=true","s='applepenapple', wordDict=['apple','pen'], output=true","s='catsandog', wordDict=['cats','dog','sand','and','cat'], output=false","s='a', wordDict=['a'], output=true","s='ab', wordDict=['a','b'], output=true","Google, Amazon",Medium,Dynamic Programming,Use DP to check if string can be segmented.
112,Word Break II,"Find all possible word segmentations of a string using a dictionary. Use backtracking or dynamic programming with memoization for O(2^n) time, returning empty lists for invalid cases.","s='catsanddog', wordDict=['cat','cats','and','sand','dog'], output=['cats and dog','cat sand dog']","s='pineapplepenapple', wordDict=['apple','pen','applepen','pine','pineapple'], output=['pine apple pen apple','pineapple pen apple','pine applepen apple']","s='catsandog', wordDict=['cats','dog','sand','and','cat'], output=[]","s='a', wordDict=['a'], output=['a']","s='ab', wordDict=['a','b'], output=['a b']","Google, Amazon",Hard,"Dynamic Programming, Backtracking",Use backtracking or DP to find all segmentations.
113,Linked List Cycle,"Detect if a linked list has a cycle using Floyd’s cycle detection algorithm. Use two pointers (slow and fast) for O(n) time and O(1) space, returning false for empty or acyclic lists.","head=[3,2,0,-4], pos=1, output=true","head=[1,2], pos=0, output=true","head=[1], pos=-1, output=false","head=[1,2,3], pos=-1, output=false","head=[1,2,3,4], pos=2, output=true","Google, Amazon",Easy,"Linked List, Two Pointers",Use Floyd’s cycle detection algorithm.
114,Linked List Cycle II,"Find the node where a cycle begins in a linked list using Floyd’s algorithm. Use two pointers to detect the cycle and locate the entrance in O(n) time, returning null for acyclic lists.","head=[3,2,0,-4], pos=1, output=2","head=[1,2], pos=0, output=1","head=[1], pos=-1, output=null","head=[1,2,3], pos=-1, output=null","head=[1,2,3,4], pos=2, output=3","Google, Amazon",Medium,"Linked List, Two Pointers",Use Floyd’s algorithm to find the cycle’s start.
115,Reorder List,"Reorder a linked list by interleaving the first half with the reversed second half. Find the middle, reverse the second half, and merge in O(n) time, handling odd or even-length lists.","head=[1,2,3,4], output=[1,4,2,3]","head=[1,2,3,4,5], output=[1,5,2,4,3]","head=[1], output=[1]","head=[1,2], output=[1,2]","head=[1,2,3], output=[1,3,2]","Google, Amazon",Medium,Linked List,"Find middle, reverse second half, and merge."
116,Binary Tree Preorder Traversal,"Return the preorder traversal of a binary tree (root, left, right). Use recursive or iterative (stack-based) traversal for O(n) time, handling empty or single-node trees.","root=[1,null,2,3], output=[1,2,3]","root=[], output=[]","root=[1], output=[1]","root=[1,2], output=[1,2]","root=[1,null,2], output=[1,2]","Google, Amazon",Medium,"Tree, DFS",Use recursive or iterative preorder traversal.
117,Binary Tree Postorder Traversal,"Return the postorder traversal of a binary tree (left, right, root). Use recursive or iterative (stack-based) traversal for O(n) time, handling empty or single-node trees.","root=[1,null,2,3], output=[3,2,1]","root=[], output=[]","root=[1], output=[1]","root=[1,2], output=[2,1]","root=[1,null,2], output=[2,1]","Google, Amazon",Medium,"Tree, DFS",Use recursive or iterative postorder traversal.
118,LRU Cache,"Implement an LRU (Least Recently Used) cache with get and put operations in O(1) time. Use a hash map and doubly linked list to track and evict the least recently used items, handling capacity constraints.","ops=['LRUCache','put','put','get','put','get','put','get','get','get'], args=[[2],[1,1],[2,2],[1],[3,3],[2],[4,4],[1],[3],[4]], output=[null,null,null,1,null,-1,null,-1,3,4]","ops=['LRUCache','put','get'], args=[[1],[1,1],[1]], output=[null,null,1]","ops=['LRUCache','get'], args=[[1],[1]], output=[null,-1]","ops=['LRUCache','put','put','get'], args=[[1],[1,1],[2,2],[1]], output=[null,null,null,1]","ops=['LRUCache','put','put','get'], args=[[2],[1,1],[2,2],[3]], output=[null,null,null,-1]","Google, Amazon",Medium,"Design, Hash Table, Linked List",Use a hash map and doubly linked list for O(1) operations.
119,Insertion Sort List,"Sort a linked list using insertion sort. Insert each node into its correct position in a sorted sublist for O(n^2) time, handling duplicates or single-node lists.","head=[4,2,1,3], output=[1,2,3,4]","head=[-1,5,3,4,0], output=[-1,0,3,4,5]","head=[1], output=[1]","head=[2,1], output=[1,2]","head=[1,1,1], output=[1,1,1]","Google, Amazon",Medium,"Linked List, Sorting",Implement insertion sort on a linked list.
120,Sort List,"Sort a linked list in O(n log n) time using merge sort. Split the list, sort recursively, and merge sorted halves, handling empty or single-node lists.","head=[4,2,1,3], output=[1,2,3,4]","head=[-1,5,3,4,0], output=[-1,0,3,4,5]","head=[1], output=[1]","head=[2,1], output=[1,2]","head=[1,1,1], output=[1,1,1]","Google, Amazon",Medium,"Linked List, Sorting",Use merge sort for O(n log n) time.
121,Max Points on a Line,"Find the maximum number of points that lie on the same line in a 2D plane. Calculate slopes between pairs of points using a hash map for O(n^2) time, handling duplicate points and vertical lines.","points=[[1,1],[2,2],[3,3]], output=3","points=[[1,1],[3,2],[5,3],[4,1],[2,3],[1,4]], output=4","points=[[1,1]], output=1","points=[[1,1],[2,2]], output=2","points=[[0,0],[1,1],[0,0]], output=3","Google, Amazon",Hard,"Math, Geometry",Calculate slopes to find collinear points.
122,Evaluate Reverse Polish Notation,"Evaluate a Reverse Polish Notation (postfix) expression using a stack. Process operands and operators in O(n) time, handling valid expressions with integers and basic operators (+, -, *, /).","tokens=['2','1','+','3','*'], output=9","tokens=['4','13','5','/','+'], output=6","tokens=['10','6','9','3','+','-11','*','/','*','17','+','5','+'], output=22","tokens=['1'], output=1","tokens=['2','3','*'], output=6","Google, Amazon",Medium,Stack,Use a stack to evaluate postfix expressions.
123,Reverse Words in a String,"Reverse the order of words in a string, removing extra spaces. Split the string, reverse the words, and join with single spaces in O(n) time, handling leading/trailing spaces or single words.","s='the sky is blue', output='blue is sky the'","s='  hello world  ', output='world hello'","s='a', output='a'","s='  a  b  ', output='b a'","s='hi!', output='hi!'","Google, Amazon",Medium,String,"Split the string, reverse words, and join with single spaces."
124,Maximum Product Subarray,"Find the maximum product of a contiguous subarray in an array. Track maximum and minimum products due to negative numbers in O(n) time, handling zero or single-element arrays.","nums=[2,3,-2,4], output=6","nums=[-2,0,-1], output=0","nums=[1], output=1","nums=[-2,-3], output=6","nums=[2,3,-2], output=6","Google, Amazon",Medium,"Array, Dynamic Programming",Track max and min products due to negative numbers.
125,Find Minimum in Rotated Sorted Array,"Find the minimum element in a rotated sorted array with no duplicates. Use binary search for O(log n) time, leveraging the sorted structure to locate the pivot.","nums=[3,4,5,1,2], output=1","nums=[4,5,6,7,0,1,2], output=0","nums=[1], output=1","nums=[2,1], output=1","nums=[3,1,2], output=1","Google, Amazon",Medium,"Array, Binary Search",Use binary search to find the minimum.
